date,YearWeek,Date2,keyword,search_demand,Brand
2014-07-13,201428,2014-07-07,/m/0k8z,6,Apple
2014-07-20,201429,2014-07-14,/m/0k8z,8,Apple
2014-07-27,201430,2014-07-21,/m/0k8z,6,Apple
2014-08-03,201431,2014-07-28,/m/0k8z,5,Apple
2014-08-10,201432,2014-08-04,/m/0k8z,5,Apple
2014-08-17,201433,2014-08-11,/m/0k8z,7,Apple
2014-08-24,201434,2014-08-18,/m/0k8z,7,Apple
2014-08-31,201435,2014-08-25,/m/0k8z,10,Apple
2014-09-07,201436,2014-09-01,/m/0k8z,48,Apple
2014-09-14,201437,2014-09-08,/m/0k8z,11,Apple
2014-09-21,201438,2014-09-15,/m/0k8z,11,Apple
2014-09-28,201439,2014-09-22,/m/0k8z,8,Apple
2014-10-05,201440,2014-09-29,/m/0k8z,7,Apple
2014-10-12,201441,2014-10-06,/m/0k8z,11,Apple
2014-10-19,201442,2014-10-13,/m/0k8z,9,Apple
2014-10-26,201443,2014-10-20,/m/0k8z,9,Apple
2014-11-02,201444,2014-10-27,/m/0k8z,7,Apple
2014-11-09,201445,2014-11-03,/m/0k8z,7,Apple
2014-11-16,201446,2014-11-10,/m/0k8z,7,Apple
2014-11-23,201447,2014-11-17,/m/0k8z,6,Apple
2014-11-30,201448,2014-11-24,/m/0k8z,7,Apple
2014-12-07,201449,2014-12-01,/m/0k8z,6,Apple
2014-12-14,201450,2014-12-08,/m/0k8z,6,Apple
2014-12-21,201451,2014-12-15,/m/0k8z,5,Apple
2014-12-28,201452,2014-12-22,/m/0k8z,5,Apple
2015-01-04,201501,2014-12-29,/m/0k8z,6,Apple
2015-01-11,201502,2015-01-05,/m/0k8z,5,Apple
2015-01-18,201503,2015-01-12,/m/0k8z,6,Apple
2015-01-25,201504,2015-01-19,/m/0k8z,11,Apple
2015-02-01,201505,2015-01-26,/m/0k8z,7,Apple
2015-02-08,201506,2015-02-02,/m/0k8z,7,Apple
2015-02-15,201507,2015-02-09,/m/0k8z,7,Apple
2015-02-22,201508,2015-02-16,/m/0k8z,8,Apple
2015-03-01,201509,2015-02-23,/m/0k8z,7,Apple
2015-03-08,201510,2015-03-02,/m/0k8z,14,Apple
2015-03-15,201511,2015-03-09,/m/0k8z,7,Apple
2015-03-22,201512,2015-03-16,/m/0k8z,6,Apple
2015-03-29,201513,2015-03-23,/m/0k8z,6,Apple
2015-04-05,201514,2015-03-30,/m/0k8z,7,Apple
2015-04-12,201515,2015-04-06,/m/0k8z,6,Apple
2015-04-19,201516,2015-04-13,/m/0k8z,7,Apple
2015-04-26,201517,2015-04-20,/m/0k8z,10,Apple
2015-05-03,201518,2015-04-27,/m/0k8z,6,Apple
2015-05-10,201519,2015-05-04,/m/0k8z,6,Apple
2015-05-17,201520,2015-05-11,/m/0k8z,6,Apple
2015-05-24,201521,2015-05-18,/m/0k8z,6,Apple
2015-05-31,201522,2015-05-25,/m/0k8z,6,Apple
2015-06-07,201523,2015-06-01,/m/0k8z,10,Apple
2015-06-14,201524,2015-06-08,/m/0k8z,6,Apple
2015-06-21,201525,2015-06-15,/m/0k8z,6,Apple
2015-06-28,201526,2015-06-22,/m/0k8z,6,Apple
2015-07-05,201527,2015-06-29,/m/0k8z,6,Apple
2015-07-12,201528,2015-07-06,/m/0k8z,6,Apple
2015-07-19,201529,2015-07-13,/m/0k8z,11,Apple
2015-07-26,201530,2015-07-20,/m/0k8z,6,Apple
2015-08-02,201531,2015-07-27,/m/0k8z,7,Apple
2015-08-09,201532,2015-08-03,/m/0k8z,7,Apple
2015-08-16,201533,2015-08-10,/m/0k8z,7,Apple
2015-08-23,201534,2015-08-17,/m/0k8z,11,Apple
2015-08-30,201535,2015-08-24,/m/0k8z,8,Apple
2015-09-06,201536,2015-08-31,/m/0k8z,23,Apple
2015-09-13,201537,2015-09-07,/m/0k8z,9,Apple
2015-09-20,201538,2015-09-14,/m/0k8z,8,Apple
2015-09-27,201539,2015-09-21,/m/0k8z,7,Apple
2015-10-04,201540,2015-09-28,/m/0k8z,7,Apple
2015-10-11,201541,2015-10-05,/m/0k8z,7,Apple
2015-10-18,201542,2015-10-12,/m/0k8z,7,Apple
2015-10-25,201543,2015-10-19,/m/0k8z,10,Apple
2015-11-01,201544,2015-10-26,/m/0k8z,7,Apple
2010-11-14,201045,2010-11-08,/m/017rf_,38,Netflix
2010-11-21,201046,2010-11-15,/m/017rf_,47,Netflix
2010-11-28,201047,2010-11-22,/m/017rf_,54,Netflix
2010-12-05,201048,2010-11-29,/m/017rf_,54,Netflix
2010-12-12,201049,2010-12-06,/m/017rf_,58,Netflix
2010-12-19,201050,2010-12-13,/m/017rf_,61,Netflix
2010-12-26,201051,2010-12-20,/m/017rf_,71,Netflix
2011-01-02,201152,2011-12-26,/m/017rf_,65,Netflix
2011-01-09,201101,2011-01-03,/m/017rf_,69,Netflix
2011-01-16,201102,2011-01-10,/m/017rf_,65,Netflix
2011-01-23,201103,2011-01-17,/m/017rf_,69,Netflix
2011-01-30,201104,2011-01-24,/m/017rf_,79,Netflix
2011-02-06,201105,2011-01-31,/m/017rf_,59,Netflix
2011-02-13,201106,2011-02-07,/m/017rf_,50,Netflix
2011-02-20,201107,2011-02-14,/m/017rf_,59,Netflix
2011-02-27,201108,2011-02-21,/m/017rf_,61,Netflix
2011-03-06,201109,2011-02-28,/m/017rf_,59,Netflix
2011-03-13,201110,2011-03-07,/m/017rf_,51,Netflix
2011-03-20,201111,2011-03-14,/m/017rf_,69,Netflix
2011-03-27,201112,2011-03-21,/m/017rf_,58,Netflix
2011-04-03,201113,2011-03-28,/m/017rf_,59,Netflix
2011-04-10,201114,2011-04-04,/m/017rf_,53,Netflix
2011-04-17,201115,2011-04-11,/m/017rf_,56,Netflix
2011-04-24,201116,2011-04-18,/m/017rf_,68,Netflix
2011-05-01,201117,2011-04-25,/m/017rf_,54,Netflix
2011-05-08,201118,2011-05-02,/m/017rf_,57,Netflix
2011-05-15,201119,2011-05-09,/m/017rf_,57,Netflix
